2025-03-29 10:51:52,701 | basic_experiment | INFO     | Logging to /mnt/c/Users/garci/Documents/Masters/CSE-584-W25-ANN-Project/data/experiments/basic_experiment (2025-03-29 10:51:52)/basic_experiment.log
2025-03-29 10:51:52,704 | basic_experiment | INFO     | Starting docker container...
2025-03-29 10:52:30,323 | basic_experiment | INFO     | Copying config files to docker container...
2025-03-29 10:53:01,743 | basic_experiment | INFO     | Docker container started.
2025-03-29 10:53:01,743 | basic_experiment | INFO     | Dashboard: http://127.0.0.1:9091/webui/
2025-03-29 10:53:08,986 | basic_experiment | INFO     | Partitions (5): [(0, 19), (20, 39), (40, 59), (60, 79), (80, 99)]
2025-03-29 10:53:10,086 | basic_experiment | INFO     | Collection schema created.
2025-03-29 10:54:06,855 | basic_experiment | INFO     | Collection created.
2025-03-29 10:54:06,859 | basic_experiment | INFO     | Running search...
2025-03-29 10:55:03,308 | basic_experiment | INFO     | Search complete.
2025-03-29 10:55:03,711 | basic_experiment | INFO     | Test succeeded.
2025-03-29 10:55:03,720 | basic_experiment | INFO     | Test saved.
2025-03-29 10:55:03,721 | basic_experiment | INFO     | Cleaning up docker container...
2025-03-29 10:55:16,575 | basic_experiment | INFO     | Docker container stopped and deleted.
